2025-12-26T13:31:57.559Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:32:02.563Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:32:59.122Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:33:02.666Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:39:44.426Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:39:53.014Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T13:39:58.808Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
2025-12-26T14:10:55.056Z [error]: You must be a member to view posts {"stack":"Error: You must be a member to view posts\n    at Object.getCommunityFeed (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:85:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getCommunityFeed (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:27:20)"}
2025-12-26T14:11:46.355Z [error]: You must be a member to view posts {"stack":"Error: You must be a member to view posts\n    at Object.getCommunityFeed (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:85:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getCommunityFeed (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:27:20)"}
2025-12-26T14:27:56.196Z [error]: You must be a member of this group to view posts {"stack":"Error: You must be a member of this group to view posts\n    at Object.getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/services/communityPost.service.js:137:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)\n    at async getGroupPosts (/Users/hosanna/BYV-WORKS/Flim app/cpy-8/flimApp/backend/server/src/controllers/communityPost.controller.js:45:20)"}
